"order_id","customer_id","delivery_status","delivered_date"
10000.0,8389.0,"delivered","2023-11-04 00:00:00.000"
10001.0,6811.0,"delivered","2023-11-02 00:00:00.000"
10002.0,9441.0,"delivered","2023-11-03 00:00:00.000"
10003.0,1125.0,"delivered","2023-11-03 00:00:00.000"
10004.0,7838.0,"delivered","2023-11-02 00:00:00.000"
10005.0,5191.0,"delivered","2023-11-03 00:00:00.000"
10006.0,5206.0,"delivered","2023-11-04 00:00:00.000"
10007.0,1965.0,"delivered","2023-11-02 00:00:00.000"
10008.0,1160.0,"delivered","2023-11-04 00:00:00.000"
10009.0,5793.0,"delivered","2023-11-03 00:00:00.000"
10010.0,1153.0,"delivered","2023-11-02 00:00:00.000"
10011.0,7846.0,"delivered","2023-11-03 00:00:00.000"
10012.0,7923.0,"delivered","2023-11-04 00:00:00.000"
10013.0,8407.0,"delivered","2023-11-02 00:00:00.000"
10014.0,5188.0,"delivered","2023-11-03 00:00:00.000"
10015.0,9340.0,"delivered","2023-11-04 00:00:00.000"
10016.0,5805.0,"canceled",
10017.0,2874.0,"delivered","2023-11-04 00:00:00.000"
10018.0,8596.0,"delivered","2023-11-04 00:00:00.000"
10019.0,9466.0,"delivered","2023-11-02 00:00:00.000"
10020.0,5948.0,"delivered","2023-11-02 00:00:00.000"
10021.0,8017.0,"delivered","2023-11-03 00:00:00.000"
10022.0,8058.0,"canceled",
10023.0,7803.0,"delivered","2023-11-02 00:00:00.000"
10024.0,7659.0,"canceled",
10025.0,3664.0,"delivered","2023-11-02 00:00:00.000"
10026.0,4914.0,"delivered","2023-11-02 00:00:00.000"
10027.0,8729.0,"delivered","2023-11-02 00:00:00.000"
10028.0,1503.0,"delivered","2023-11-03 00:00:00.000"
10029.0,7861.0,"delivered","2023-11-02 00:00:00.000"
10030.0,5343.0,"delivered","2023-11-02 00:00:00.000"
10031.0,6229.0,"delivered","2023-11-03 00:00:00.000"
10032.0,1903.0,"delivered","2023-11-02 00:00:00.000"
10033.0,2067.0,"delivered","2023-11-05 00:00:00.000"
10034.0,4987.0,"delivered","2023-11-02 00:00:00.000"
10035.0,2970.0,"delivered","2023-11-04 00:00:00.000"
10036.0,1372.0,"delivered","2023-11-05 00:00:00.000"
10037.0,8413.0,"delivered","2023-11-07 00:00:00.000"
10038.0,1731.0,"delivered","2023-11-03 00:00:00.000"
10039.0,1739.0,"delivered","2023-11-02 00:00:00.000"
10040.0,3235.0,"delivered","2023-11-02 00:00:00.000"
10041.0,1833.0,"delivered","2023-11-04 00:00:00.000"
10042.0,1876.0,"delivered","2023-11-03 00:00:00.000"
10043.0,1152.0,"delivered","2023-11-04 00:00:00.000"
10044.0,1452.0,"delivered","2023-11-02 00:00:00.000"
10045.0,7138.0,"delivered","2023-11-03 00:00:00.000"
10046.0,1534.0,"delivered","2023-11-03 00:00:00.000"
10047.0,6085.0,"delivered","2023-11-04 00:00:00.000"
10048.0,6735.0,"delivered","2023-11-02 00:00:00.000"
