"customer_id","checkout_started_at","checkout_completed_at","order_id","customer_added_non_med_to_order","order_total_dollars"
1177.0,"2023-11-01 06:45:18.000",,,,
6119.0,"2023-11-01 06:47:35.000",,,,
8389.0,"2023-11-01 06:50:25.000","2023-11-01 07:05:16.000",10000.0,"false",11.75
6811.0,"2023-11-01 06:55:26.000","2023-11-01 06:59:06.000",10001.0,"false",19.83
9441.0,"2023-11-01 06:59:34.000","2023-11-01 07:06:17.000",10002.0,"false",21.59
1125.0,"2023-11-01 07:05:30.000","2023-11-01 07:10:02.000",10003.0,"false",15.5
7838.0,"2023-11-01 07:14:33.000","2023-11-01 07:23:56.000",10004.0,"false",15.49
5191.0,"2023-11-01 07:17:54.000","2023-11-01 07:22:05.000",10005.0,"false",20.01
5206.0,"2023-11-01 07:21:56.000","2023-11-01 07:28:21.000",10006.0,"false",24.18
1965.0,"2023-11-01 07:24:20.000","2023-11-01 07:27:28.000",10007.0,"false",23.0
1160.0,"2023-11-01 07:34:20.000","2023-11-01 07:45:44.000",10008.0,"false",18.08
5793.0,"2023-11-01 07:41:15.000","2023-11-01 07:43:33.000",10009.0,"false",14.75
1153.0,"2023-11-01 07:42:05.000","2023-11-01 07:44:58.000",10010.0,"false",18.4
3828.0,"2023-11-01 07:50:06.000",,,,
7037.0,"2023-11-01 07:50:47.000",,,,
7846.0,"2023-11-01 07:55:40.000","2023-11-01 07:57:46.000",10011.0,"false",26.81
7923.0,"2023-11-01 08:00:43.000","2023-11-01 08:01:18.000",10012.0,"false",14.98
8407.0,"2023-11-01 08:09:21.000","2023-11-01 08:14:57.000",10013.0,"false",11.23
2719.0,"2023-11-01 08:15:48.000",,,,
4462.0,"2023-11-01 08:22:07.000",,,,
2467.0,"2023-11-01 08:22:26.000",,,,
5188.0,"2023-11-01 08:29:48.000","2023-11-01 08:39:18.000",10014.0,"false",28.35
4902.0,"2023-11-01 08:31:38.000",,,,
8692.0,"2023-11-01 08:33:32.000",,,,
9340.0,"2023-11-01 08:39:07.000","2023-11-01 08:52:07.000",10015.0,"false",12.91
5805.0,"2023-11-01 08:45:37.000","2023-11-01 08:53:45.000",10016.0,"false",16.97
2874.0,"2023-11-01 08:46:42.000","2023-11-01 08:54:20.000",10017.0,"false",16.89
8596.0,"2023-11-01 08:53:32.000","2023-11-01 09:06:51.000",10018.0,"false",30.03
9466.0,"2023-11-01 08:54:14.000","2023-11-01 09:05:46.000",10019.0,"false",19.1
5948.0,"2023-11-01 08:56:42.000","2023-11-01 09:03:18.000",10020.0,"false",16.82
2690.0,"2023-11-01 09:03:59.000",,,,
8017.0,"2023-11-01 09:13:56.000","2023-11-01 09:22:10.000",10021.0,"false",19.86
1913.0,"2023-11-01 09:19:58.000",,,,
8058.0,"2023-11-01 09:21:19.000","2023-11-01 09:34:40.000",10022.0,"false",22.89
8622.0,"2023-11-01 09:27:15.000",,,,
7803.0,"2023-11-01 09:28:18.000","2023-11-01 09:38:39.000",10023.0,"false",16.55
